Artifact,Current Version,Newer Versions,Num Newer Versions,Upgrades Available
com.google.cloud:google-cloud-kms,1.32.0,"2.9.0, 2.8.0, 2.7.0, 2.6.8, 2.6.7, 2.6.6, 2.6.4, 2.6.3, 2.6.2, 2.6.0, 2.5.3, 2.5.2, 2.5.1, 2.5.0, 2.4.4, 2.4.3, 2.4.2, 2.4.1, 2.4.0, 2.3.1, 2.3.0, 2.23.0, 2.22.0, 2.21.0, 2.20.0, 2.2.2, 2.2.1, 2.2.0, 2.19.0, 2.18.0, 2.17.0, 2.16.0, 2.15.0, 2.14.0, 2.13.0, 2.12.0, 2.11.0, 2.10.0, 2.1.2, 2.1.1, 2.1.0, 2.0.3, 2.0.2, 2.0.1, 2.0.0, 1.43.0, 1.42.3, 1.42.2, 1.42.1, 1.42.0",50,"Major, Minor"
com.google.cloud:google-cloud-logging,1.93.0,"3.9.0, 3.8.0, 3.7.7, 3.7.6, 3.7.5, 3.7.4, 3.15.5, 3.15.4, 3.15.3, 3.15.2, 3.15.1, 3.15.0, 3.14.9, 3.14.8, 3.14.7, 3.14.6, 3.14.5, 3.14.4, 3.14.3, 3.14.2, 3.14.1, 3.14.0, 3.13.7, 3.13.6, 3.13.5, 3.13.4, 3.13.3, 3.13.2, 3.13.1, 3.13.0, 3.12.1, 3.12.0, 3.11.9, 3.11.8, 3.11.7, 3.11.6, 3.11.5, 3.11.4, 3.11.3, 3.11.2, 3.11.10, 3.11.1, 3.11.0, 3.10.7, 3.10.6, 3.10.5, 3.10.4, 3.10.3, 3.10.2, 3.10.0",50,Major
com.google.cloud:google-cloud-pubsub,1.107.0,"1.123.9, 1.123.8, 1.123.7, 1.123.6, 1.123.5, 1.123.4, 1.123.3, 1.123.2, 1.123.17, 1.123.16, 1.123.15, 1.123.14, 1.123.13, 1.123.12, 1.123.11, 1.123.10, 1.123.1, 1.123.0, 1.122.2, 1.122.1, 1.122.0, 1.121.1, 1.121.0, 1.120.9, 1.120.8, 1.120.7, 1.120.6, 1.120.5, 1.120.4, 1.120.3, 1.120.25, 1.120.24, 1.120.23, 1.120.22, 1.120.21, 1.120.20, 1.120.2, 1.120.19, 1.120.18, 1.120.17, 1.120.16, 1.120.15, 1.120.14, 1.120.13, 1.120.12, 1.120.11, 1.120.10, 1.120.1, 1.117.1, 1.111.0-sp.3",50,Minor
com.google.cloud:google-cloud-resourcemanager,0.117.2-alpha,"1.9.0, 1.8.0, 1.7.0, 1.6.0, 1.5.6, 1.5.5, 1.5.4, 1.5.3, 1.5.2, 1.5.0, 1.4.0, 1.3.2, 1.3.1, 1.3.0, 1.22.0, 1.21.0, 1.20.0, 1.2.9, 1.2.8, 1.2.7, 1.2.6, 1.2.5, 1.2.4, 1.2.3, 1.2.2, 1.2.13, 1.2.12, 1.2.11, 1.2.10, 1.2.1, 1.2.0, 1.19.0, 1.18.0, 1.17.0, 1.16.0, 1.15.0, 1.14.0, 1.13.0, 1.12.0, 1.11.0, 1.10.0, 1.1.4, 1.1.3, 1.1.2, 1.1.1, 1.1.0, 1.0.4, 1.0.3, 1.0.2, 1.0.1",50,Major
com.google.cloud:google-cloud-secretmanager,1.2.8,"2.9.0, 2.8.0, 2.7.0, 2.6.0, 2.5.0, 2.4.0, 2.3.9, 2.3.8, 2.3.7, 2.3.6, 2.3.5, 2.3.4, 2.3.3, 2.3.2, 2.3.10, 2.3.1, 2.3.0, 2.20.0, 2.2.0, 2.19.0, 2.18.0, 2.17.0, 2.16.0, 2.15.0, 2.14.0, 2.13.0, 2.12.0, 2.11.0, 2.10.0, 2.1.8, 2.1.7, 2.1.6, 2.1.5, 2.1.4, 2.1.3, 2.1.2, 2.1.1, 2.1.0, 2.0.7, 2.0.6, 2.0.5, 2.0.4, 2.0.3, 2.0.2, 2.0.1, 2.0.0, 1.7.2, 1.7.1, 1.7.0, 1.6.4",50,"Major, Minor"
com.google.cloud:google-cloud-storage,1.52.0,"2.9.3, 2.9.2, 2.9.1, 2.9.0, 2.8.1, 2.8.0, 2.7.2, 2.7.1, 2.7.0, 2.6.2, 2.6.1, 2.6.0, 2.5.1, 2.5.0, 2.4.5, 2.4.4, 2.4.3, 2.4.2, 2.4.1, 2.4.0, 2.23.0, 2.22.5, 2.22.4, 2.22.3, 2.22.2, 2.22.1, 2.22.0, 2.21.0, 2.20.2, 2.20.1, 2.20.0, 2.19.0, 2.18.0, 2.17.2, 2.17.1, 2.17.0, 2.16.0, 2.15.1, 2.15.0, 2.14.0, 2.13.1, 2.13.0, 2.12.0, 2.11.3, 2.11.2, 2.11.1, 2.11.0, 2.10.0, 2.1.10, 1.113.14-sp.4",50,"Major, Minor"
com.nimbusds:nimbus-jose-jwt,8.19,"9.9.3, 9.9.2, 9.9.1, 9.31, 9.30.2, 9.30.1, 9.30, 9.29, 9.28, 9.27, 9.26, 9.25.6, 9.25.5, 9.25.4, 9.25.3, 9.25.2, 9.25.1, 9.25, 9.24.4, 9.24.3, 9.24.2, 9.24.1, 9.24, 9.23, 9.22, 9.21.1, 9.21, 9.20, 9.19, 9.18, 9.17, 9.16.1, 9.16-preview.1, 9.16, 9.15.2, 9.15.1, 9.15, 9.14, 9.13, 9.12.1, 9.12, 9.11.3, 9.11.2, 9.11.1, 9.11, 9.10.1, 9.10, 8.23, 8.22.1, 8.22",50,"Major, Minor"
com.nimbusds:oauth2-oidc-sdk,7.4,"9.43.3, 9.43.2, 9.43.1, 9.43, 9.42, 9.41.1, 9.41, 9.40, 9.39.1, 9.39, 9.38.1, 9.38, 9.37.3, 9.37.2, 9.37.1, 9.37, 9.36, 9.35, 9.34, 9.33, 9.32, 9.31.1, 9.31, 9.30, 9.29, 9.28, 9.27.1, 9.27, 9.26, 9.25, 9.24, 10.9.2, 10.9.1, 10.9, 10.8, 10.7.2, 10.7.1, 10.7, 10.6, 10.5.2, 10.5.1, 10.5, 10.4, 10.3.1, 10.3, 10.2.1, 10.10.1, 10.10, 10.1, 10.0",50,Major
com.slack.api:slack-api-client,1.5.3,"1.9.0, 1.8.1, 1.8.0, 1.7.1, 1.7.0, 1.6.2, 1.6.1-RC1, 1.6.1, 1.29.2, 1.29.1, 1.29.0, 1.28.1, 1.28.0, 1.27.3, 1.27.2, 1.27.1, 1.27.0, 1.26.1, 1.26.0, 1.25.1, 1.25.0, 1.24.0, 1.23.1, 1.23.0, 1.22.3, 1.22.2, 1.22.1, 1.22.0, 1.21.2, 1.21.1, 1.21.0, 1.20.2, 1.20.1, 1.20.0, 1.19.0, 1.18.0, 1.17.1, 1.17.0, 1.16.1, 1.16.0, 1.15.0, 1.14.0, 1.13.0, 1.12.1, 1.12.0, 1.11.0-RC1, 1.11.0, 1.10.0-RC2, 1.10.0-RC1, 1.10.0",50,Minor
com.slack.api:slack-api-model,1.5.3,"1.9.0, 1.8.1, 1.8.0, 1.7.1, 1.7.0, 1.6.2, 1.6.1-RC1, 1.6.1, 1.29.2, 1.29.1, 1.29.0, 1.28.1, 1.28.0, 1.27.3, 1.27.2, 1.27.1, 1.27.0, 1.26.1, 1.26.0, 1.25.1, 1.25.0, 1.24.0, 1.23.1, 1.23.0, 1.22.3, 1.22.2, 1.22.1, 1.22.0, 1.21.2, 1.21.1, 1.21.0, 1.20.2, 1.20.1, 1.20.0, 1.19.0, 1.18.0, 1.17.1, 1.17.0, 1.16.1, 1.16.0, 1.15.0, 1.14.0, 1.13.0, 1.12.1, 1.12.0, 1.11.0-RC1, 1.11.0, 1.10.0-RC2, 1.10.0-RC1, 1.10.0",50,Minor
com.squareup.wire:wire-runtime,2.2.0,"4.7.2, 4.7.1, 4.7.0, 4.6.2, 4.6.1, 4.6.0, 4.5.6, 4.5.5, 4.5.4, 4.5.3, 4.5.2, 4.5.1, 4.5.0, 4.4.3, 4.4.2, 4.4.1, 4.4.0, 4.3.0, 4.2.0, 4.1.1, 4.1.0, 4.0.1, 4.0.0-alpha.9, 4.0.0-alpha.8, 4.0.0-alpha.7, 4.0.0-alpha.6, 4.0.0-alpha.5, 4.0.0-alpha.4, 4.0.0-alpha.3, 4.0.0-alpha.20, 4.0.0-alpha.2, 4.0.0-alpha.19, 4.0.0-alpha.18, 4.0.0-alpha.17, 4.0.0-alpha.16, 4.0.0-alpha.15, 4.0.0-alpha.12, 4.0.0-alpha.11, 4.0.0-alpha.10, 4.0.0-alpha.1, 4.0.0, 3.7.1, 3.7.0, 3.6.1, 3.6.0, 3.5.0, 3.4.0, 3.3.0-alpha1, 3.3.0, 3.2.2",50,Major
